category_id,category
514,의류 및 액세서리 > 의류 > 유아복 > 여아용 유아복 > 바디수트
515,의류 및 액세서리 > 의류 > 유아복 > 여아용 유아복
516,의류 및 액세서리 > 의류 > 유아복 > 남아용 유아복 > 정장
517,의류 및 액세서리 > 의류 > 유아복 > 남아용 유아복 > 수영복
518,의류 및 액세서리 > 의류 > 유아복 > 남아용 유아복 > 스웨터
519,의류 및 액세서리 > 의류 > 유아복 > 남아용 유아복 > 양말
520,의류 및 액세서리 > 의류 > 유아복 > 남아용 유아복 > 상의
521,의류 및 액세서리 > 의류 > 유아복 > 남아용 유아복 > 바디수트
522,의류 및 액세서리 > 의류 > 유아복 > 남아용 유아복 > 잠옷
523,의류 및 액세서리 > 의류 > 유아복 > 남아용 유아복 > 하의
524,의류 및 액세서리 > 의류 > 유아복 > 남아용 유아복 > 아우터
525,의류 및 액세서리 > 의류 > 유아복 > 남아용 유아복 > 의상/세트
526,의류 및 액세서리 > 의류 > 유아복 > 남아용 유아복
527,의류 및 액세서리 > 의류 > 유아복
528,의류 및 액세서리 > 의류
529,의류 및 액세서리
530,기타
