category_id,category
156,여행/여행용 가방 > 핸드백/지갑 > 허리 벨트 가방
157,여행/여행용 가방 > 핸드백/지갑
158,여행/여행용 가방 > 여행 가방
159,여행/여행용 가방 > 더플백/운동 가방
160,여행/여행용 가방 > 여행가방 세트
161,여행/여행용 가방 > 서류 가방/노트북 가방
162,여행/여행용 가방 > 백팩
163,여행/여행용 가방
164,미술/공예 > 공예용품
165,미술/공예 > 바느질
166,미술/공예 > 재봉/털실
167,미술/공예 > 구슬/보석공예
168,미술/공예 > 미술용품
169,미술/공예
170,자동차 부품/액세서리 > 트레일러 부품/액세서리
171,자동차 부품/액세서리 > 파워스포츠 부품/액세서리
172,자동차 부품/액세서리 > rv/캠핑카 부품/액세서리
173,자동차 부품/액세서리 > 자동차 부품/액세서리
174,자동차 부품/액세서리 > 보트 부품/액세서리
175,자동차 부품/액세서리 > 오토바이 부품/액세서리
176,자동차 부품/액세서리 > 자동차 공구
177,자동차 부품/액세서리
178,앤티크/수집품 > 수집용 스포츠 기념품
179,앤티크/수집품 > 수집용 가정용품
180,앤티크/수집품 > 수집용 전자기기
181,앤티크/수집품 > 수집용 동전/지폐
182,앤티크/수집품 > 수집용 우표
183,앤티크/수집품 > 수집용 가구
184,앤티크/수집품 > 수집용 가정 제품
185,앤티크/수집품 > 수집용 장난감
186,앤티크/수집품
187,유아용품 > 이유식 용품
188,유아용품 > 유모차 > 아기띠
189,유아용품 > 유모차 > 유모차/액세서리
190,유아용품 > 유모차 > 카시트/액세서리
191,유아용품 > 유모차
192,유아용품 > 유아 건강/안전
193,유아용품 > 유아용 목욕용품
194,유아용품 > 장난감 > 아기 체육관
195,유아용품 > 장난감 > 유아용 장난감
196,유아용품 > 장난감
197,유아용품 > 기저귀/배변 훈련
198,유아용품 > 아기방 > 유아용 침구
199,유아용품 > 아기방 > 아기방 장식품
200,유아용품 > 아기방 > 육아 가구
201,유아용품 > 아기방
202,유아용품
203,전자제품 > 휴대용 오디오/동영상 플레이어
204,전자제품 > 가정용 오디오/동영상 플레이어
205,전자제품 > 가정 보안/자동화 시스템
206,전자제품 > 휴대폰/스마트 워치 > 휴대폰
207,전자제품 > 휴대폰/스마트 워치 > 휴대폰/스마트 워치 액세서리
208,전자제품 > 휴대폰/스마트 워치 > 스마트 워치
209,전자제품 > 휴대폰/스마트 워치
210,전자제품 > 프로젝터
211,전자제품 > 카메라 > 쌍안경/망원경
212,전자제품 > 카메라 > 필름 카메라
213,전자제품 > 카메라 > 카메라 액세서리
214,전자제품 > 카메라 > 카메라 드론
215,전자제품 > 카메라 > 디지털 카메라
216,전자제품 > 카메라 > 비디오 카메라
217,전자제품 > 카메라
218,전자제품 > tv/모니터 > tv
219,전자제품 > tv/모니터 > 컴퓨터 모니터
220,전자제품 > tv/모니터
221,전자제품 > 소프트웨어
222,전자제품 > 프린터/스캐너
223,전자제품 > 비디오 게임 콘솔/비디오 게임 > 비디오 게임 액세서리
224,전자제품 > 비디오 게임 콘솔/비디오 게임 > 비디오 게임 콘솔
225,전자제품 > 비디오 게임 콘솔/비디오 게임 > 비디오 게임
226,전자제품 > 비디오 게임 콘솔/비디오 게임
227,전자제품 > 컴퓨터 태블릿 > 태블릿/전자책 리더기
228,전자제품 > 컴퓨터 태블릿 > 네트워크/서버
229,전자제품 > 컴퓨터 태블릿 > 컴퓨터 부품/하드웨어
230,전자제품 > 컴퓨터 태블릿 > 노트북
231,전자제품 > 컴퓨터 태블릿 > 데스크톱 컴퓨터
232,전자제품 > 컴퓨터 태블릿
233,전자제품 > 액세서리 > 컴퓨터 주변기기
234,전자제품 > 액세서리 > 배터리/전원용품
235,전자제품 > 액세서리 > 공 cd
236,전자제품 > 액세서리 > 케이블/충전기/어댑터
237,전자제품 > 액세서리
238,전자제품
239,건강/뷰티 > 건강 > 구강 관리
240,건강/뷰티 > 건강 > 응급 처치
241,건강/뷰티 > 건강 > 여성 청결제
242,건강/뷰티 > 건강 > 시력 관리 제품
243,건강/뷰티 > 건강 > 마사지
244,건강/뷰티 > 건강 > 면도/제모
245,건강/뷰티 > 건강
246,건강/뷰티 > 뷰티 > 스킨 케어 > 태닝 오일/로션
247,건강/뷰티 > 뷰티 > 스킨 케어 > 립밤/트리트먼트
248,건강/뷰티 > 뷰티 > 스킨 케어 > 마스크팩/필링
249,건강/뷰티 > 뷰티 > 스킨 케어 > 각질제거제/스크럽
250,건강/뷰티 > 뷰티 > 스킨 케어 > 얼굴용 로션/수분크림
251,건강/뷰티 > 뷰티 > 스킨 케어 > 모공팩
252,건강/뷰티 > 뷰티 > 스킨 케어 > 나이트 크림
253,건강/뷰티 > 뷰티 > 스킨 케어 > 자외선 차단제
254,건강/뷰티 > 뷰티 > 스킨 케어 > 피부 클렌징 브러시/전동 장치
255,건강/뷰티 > 뷰티 > 스킨 케어 > 여드름/잡티 트리트먼트
256,건강/뷰티 > 뷰티 > 스킨 케어 > 클렌저/토너
257,건강/미용 > 화장품/미용 > 스킨 케어
258,건강/미용 > 화장품/미용 > 네일 케어 > 부석
259,건강/뷰티 > 뷰티 > 네일 케어 > 매니큐어/네일아트
260,건강/뷰티 > 뷰티 > 네일 케어 > 네일 도구
261,건강/뷰티 > 뷰티 > 네일 케어 > 인조 손톱/액세서리
262,건강/미용 > 화장품/미용 > 네일 케어
263,건강/뷰티 > 뷰티 > 메이크업 > 메이크업 도구/액세서리
264,건강/뷰티 > 뷰티 > 메이크업 > 립 메이크업 > 립 플럼퍼
265,건강/뷰티 > 뷰티 > 메이크업 > 립 메이크업 > 립글로스
266,건강/뷰티 > 뷰티 > 메이크업 > 립 메이크업 > 립라이너
267,건강/뷰티 > 뷰티 > 메이크업 > 립 메이크업 > 립틴트
268,건강/뷰티 > 뷰티 > 메이크업 > 립 메이크업 > 립스틱
269,건강/뷰티 > 뷰티 > 메이크업 > 립 메이크업
270,건강/뷰티 > 뷰티 > 메이크업 > 메이크업 세트/키트
271,건강/뷰티 > 뷰티 > 메이크업 > 베이스 메이크업 > 파운데이션
272,건강/뷰티 > 뷰티 > 메이크업 > 베이스 메이크업 > 파우더
273,건강/미용 > 화장품/미용 > 메이크업 > 베이스 메이크업 > 블러셔
274,건강/뷰티 > 뷰티 > 메이크업 > 베이스 메이크업 > 셰딩/하이라이터
275,건강/미용 > 화장품/미용 > 메이크업 > 베이스 메이크업 > 프라이머
276,건강/미용 > 화장품/미용 > 메이크업 > 베이스 메이크업 > 컨실러
277,건강/미용 > 화장품/미용 > 메이크업 > 베이스 메이크업 > bb/cc/알파벳 크림
278,건강/뷰티 > 뷰티 > 메이크업 > 베이스 메이크업
279,건강/뷰티 > 뷰티 > 메이크업 > 아이 메이크업 > 아이브로우 제품
280,건강/뷰티 > 뷰티 > 메이크업 > 아이 메이크업 > 아이라이너
281,건강/미용 > 화장품/미용 > 메이크업 > 아이 메이크업 > 마스카라
282,건강/뷰티 > 뷰티 > 메이크업 > 아이 메이크업 > 아이섀도
283,건강/뷰티 > 뷰티 > 메이크업 > 아이 메이크업 > 인조 속눈썹/글루
284,건강/뷰티 > 뷰티 > 메이크업 > 아이 메이크업 > 아이 프라이머
285,건강/뷰티 > 뷰티 > 메이크업 > 아이 메이크업
286,건강/뷰티 > 뷰티 > 메이크업
287,건강/뷰티 > 뷰티 > 헤어 케어/스타일링 > 샴푸/컨디셔너
288,건강/뷰티 > 뷰티 > 헤어 케어/스타일링 > 롤러/컬링
289,건강/뷰티 > 뷰티 > 헤어 케어/스타일링 > 스트레이트너/컬링 아이론
290,건강/뷰티 > 뷰티 > 헤어 케어/스타일링 > 스타일링 제품
291,건강/뷰티 > 뷰티 > 헤어 케어/스타일링 > 헤어 오일/보호제
292,건강/미용 > 화장품/미용 > 헤어 케어/스타일링 > 머리끈/스타일링 액세서리
293,건강/뷰티 > 뷰티 > 헤어 케어/스타일링 > 미용 가위
294,건강/뷰티 > 뷰티 > 헤어 케어/스타일링 > 헤어드라이어
295,건강/뷰티 > 뷰티 > 헤어 케어/스타일링 > 붙임머리/가발
296,건강/뷰티 > 뷰티 > 헤어 케어/스타일링 > 브러시/빗
297,건강/뷰티 > 뷰티 > 헤어 케어/스타일링 > 염색
298,건강/뷰티 > 뷰티 > 헤어 케어/스타일링
299,건강/뷰티 > 뷰티 > 향수 > 남자용 향수
300,건강/미용 > 화장품/미용 > 향수 > 여성용 향수
301,건강/뷰티 > 뷰티 > 향수 > 아동용 향수
302,건강/뷰티 > 뷰티 > 향수
303,건강/뷰티 > 뷰티 > 목욕/바디케어 > 거품 목욕
304,건강/뷰티 > 뷰티 > 목욕/바디케어 > 목욕소금
305,건강/뷰티 > 뷰티 > 목욕/바디케어 > 바디로션/보습제
306,건강/뷰티 > 뷰티 > 목욕/바디케어 > 바디워시/비누
307,건강/뷰티 > 뷰티 > 목욕/바디케어 > 스펀지/브러시
308,건강/뷰티 > 뷰티 > 목욕/바디케어 > 스크럽/각질제거
309,건강/뷰티 > 뷰티 > 목욕/바디케어 > 목욕 오일
310,건강/뷰티 > 뷰티 > 목욕/바디케어 > 배스밤
311,건강/뷰티 > 뷰티 > 목욕/바디케어
312,건강/뷰티 > 뷰티
313,건강/뷰티
314,주얼리/시계 > 시계 > 시계 액세서리
315,주얼리/시계 > 시계 > 아동용 시계
316,주얼리/시계 > 시계 > 남성용 시계
317,주얼리/시계 > 시계 > 여성용 시계
318,주얼리/시계 > 시계
319,주얼리/시계 > 주얼리 > 반지
320,주얼리/시계 > 주얼리 > 목걸이
321,주얼리/시계 > 주얼리 > 주얼리 세트
322,주얼리/시계 > 주얼리 > 라펠 핀/브로치
323,주얼리/시계 > 주얼리 > 발찌
324,주얼리/시계 > 주얼리 > 장식물/펜던트
325,주얼리/시계 > 주얼리 > 귀걸이
326,주얼리/시계 > 주얼리 > 바디 주얼리
327,주얼리/시계 > 주얼리 > 팔찌
328,주얼리/시계 > 주얼리
329,주얼리/시계
330,집 > 청소용품 > 청소용 제품/화학제
331,집 > 청소용품 > 청소기/바닥 청소도구
332,집 > 청소용품 > 세탁용품
333,집 > 청소용품
334,집 > 대형 가전 > 레인지/오븐
335,집 > 대형 가전 > 냉장고/냉동고
336,집 > 대형 가전 > 세탁기/건조기
337,집 > 대형 가전 > 전자레인지
338,집 > 대형 가전 > 식기 세척기
339,집 > 대형 가전
340,집 > 침구 > 이불
341,집 > 침구 > 매트리스 패드/커버
342,집 > 침구 > 이불 커버
343,집 > 침구 > 담요/덮개
344,집 > 침구 > 침대보/퀼트/커버렛
345,집 > 침구 > 침대 스커트
346,집 > 침구 > 침대 시트/베갯잇
347,집 > 침구 > 침구 세트
